mjd,flux,flux err
55182.8400694,0.5920446,0.0102685
55192.8074421,0.5967727,0.0258485
55203.5427315,0.5860472,0.0175132
55206.5249884,0.5910468,0.0298651
55212.5145255,0.5955729,0.0093276
55215.5048843,0.5847592,0.0551088
55222.4957176,0.5836232,0.0203869
55225.4703819,0.5839248,0.0088857
55228.4670949,0.5944635,0.0226212
55231.4660995,0.5768285,0.0151543
55235.4573380,0.5603075,0.0248005
55238.4517245,0.5627304,0.0085850
55241.4413542,0.5868203,0.0095690
55244.4333333,0.5944717,0.0172663
55250.4021644,0.5909006,0.0096982
55253.3940394,0.5866487,0.0151066
55257.3896528,0.5699070,0.0084962
55263.3689352,0.5830307,0.0164318
55267.3746759,0.5937071,0.0089246
55275.3941898,0.5868163,0.0088160
55279.3862500,0.5898195,0.0097346
55290.3537037,0.5675475,0.0118246
55312.2824537,0.5666348,0.0477233
55323.2538426,0.5736999,0.0442653
55333.2150463,0.5951136,0.0367548
55343.1646875,0.5937103,0.0636079
55368.1161458,0.5816641,0.0133385
55375.0706944,0.5641148,0.0746293
55382.0528935,0.5822569,0.0164182
55407.9996875,0.5731380,0.0160030
55432.9131944,0.5873533,0.0463231
55444.1262616,0.5651734,0.0112025
55446.1086690,0.5837157,0.0300596
55486.0025463,0.6046894,0.0318084
55489.9899884,0.5790329,0.0225225
55500.9592477,0.5401543,0.0197817
55502.9628009,0.5323517,0.0083231
55504.9484838,0.5780221,0.0275192
55518.7541551,0.5743886,0.0117893
55525.6886806,0.5724916,0.0108062
55527.7357986,0.5664046,0.0119112
55531.7053356,0.5434522,0.0691501
55535.6940741,0.5612076,0.0113715
55537.6778009,0.5333903,0.0849636
55579.5349769,0.5686349,0.0205528
55583.5297569,0.5711853,0.0172951
55586.5199769,0.5737607,0.0180534
55590.5050810,0.5634229,0.0080905
55599.4653356,0.5787590,0.0091918
55602.4793287,0.5494133,0.0154156
55621.4317245,0.5614592,0.0278214
55630.3878241,0.5590692,0.0143265
55637.3660880,0.5655132,0.0093974
55643.3662731,0.5564961,0.0115266
55646.3493171,0.5566071,0.0088564
55649.3385532,0.5643375,0.0134917
55656.3039699,0.5562067,0.0138722
55659.3080903,0.5436596,0.0080853
55664.2823958,0.5505747,0.0103404
55668.2776620,0.5304949,0.0264549
55672.2587847,0.5564345,0.0095846
55683.2471412,0.5499156,0.0162843
55686.2228935,0.5422413,0.0228392
55689.2155324,0.5371109,0.0146632
55698.2942014,0.5578425,0.0082302
55702.2834028,0.5620473,0.0094179
55705.2889699,0.5503125,0.0320318
55712.2729167,0.5518012,0.0099134
55715.2745139,0.5565788,0.0157558
55723.2368171,0.5575568,0.0107020
55726.2203935,0.4820315,0.0728433
