mjd,flux,flux err
55433.6879630,0.1375313,0.0067329
55434.6825347,0.1232552,0.0360084
55442.6585764,0.1141993,0.0202795
55446.6499421,0.1076557,0.0041550
55454.6287616,0.1113745,0.0174365
55462.6025116,0.0942658,0.0193547
55466.5951852,0.1035120,0.0038969
55492.5066667,0.0837235,0.0066150
55497.5065856,0.0884375,0.0076206
55501.5010532,0.0698328,0.0056272
55506.3703704,0.0852525,0.0074127
55518.3363773,0.0864223,0.0254948
55537.2484375,0.0846206,0.0210668
55579.2835301,0.0477046,0.0061302
55583.2728009,0.0438679,0.0176345
55609.1969444,0.0403257,0.0174947
55621.1749306,0.0394991,0.0150522
55643.1058796,0.0281391,0.0057081
55666.9570602,0.0394935,0.0043640
55670.9436458,0.0344614,0.0081836
55707.8518287,0.0320506,0.0081818
55719.8153472,0.0267703,0.0043361
55742.7486111,0.0393700,0.0109340
55752.7205208,0.0303839,0.0057116
55765.6847106,0.0317201,0.0063677
55768.6845486,0.0302359,0.0104224
55771.6811343,0.0369103,0.0043939
55783.6353009,0.0367554,0.0102665
55787.6379398,0.0215556,0.0087187
55791.6129861,0.0276706,0.0052541
55798.5882523,0.0399705,0.0091730
55801.5379861,0.0374454,0.0098969
55812.5074190,0.0262119,0.0098254
55822.4758102,0.0251980,0.0119949
55836.4381829,0.0315295,0.0060810
55843.5739583,0.0285153,0.0041683
55861.3636343,0.0276511,0.0087325
55875.3329861,0.0278836,0.0052803
55882.3036690,0.0202517,0.0031489
55906.4258218,0.0230102,0.0112531
55921.2387153,0.0212487,0.0041000
55924.2062847,0.0239551,0.0054853
55925.2099306,0.0173935,0.0029033
55927.3619907,0.0219499,0.0095966
55991.1625000,0.0283602,0.0127088
55995.0773380,0.0181060,0.0048979
56109.8805324,0.0315965,0.0081016
56113.6683796,0.0216601,0.0093558
56135.6370370,0.0207749,0.0042685
56160.6621875,0.0288351,0.0134809
56173.7146875,0.0176643,0.0075521
56184.6735301,0.0154775,0.0045184
56189.6560880,0.0233335,0.0066264
56195.5965741,0.0279140,0.0071977
56196.5879861,0.0250399,0.0040152
56197.5563657,0.0082905,0.0028894
56207.5704051,0.0180087,0.0043441
56229.5542824,0.0255354,0.0048300
56243.4300000,0.0136308,0.0043011
56281.3256597,0.0189606,0.0039642
56356.0055440,0.0238299,0.0104495
56362.0069560,0.0314619,0.0046799
56375.1577315,0.0300858,0.0062071
56410.0633333,0.0338204,0.0085930
56414.0223958,0.0400465,0.0067980
56442.9482639,0.0444924,0.0158351
56447.8702431,0.0549790,0.0123308
56451.8849769,0.0554950,0.0050640
56461.8084954,0.0629281,0.0045300
56462.8006366,0.0609674,0.0040360
56473.7932639,0.0642092,0.0193938
56505.6411574,0.0537764,0.0044788
56510.6842245,0.0643414,0.0122570
56516.7772569,0.0748043,0.0063383
56521.6727431,0.0567973,0.0037144
56542.5189815,0.0556059,0.0036575
56549.5450810,0.0709205,0.0174763
56554.5595255,0.0685270,0.0045982
56559.5265394,0.0788535,0.0039577
56563.5645486,0.0641248,0.0081044
56566.5205787,0.0724438,0.0110476
56581.4109954,0.0613687,0.0127460
56596.4032523,0.0547753,0.0192540
56603.3726505,0.0507204,0.0192971
56611.4429051,0.0508491,0.0072126
56616.4040625,0.0594758,0.0150836
