mjd,flux,flux err
56694.6338889,0.2947843,0.0068013
56699.6202778,0.3035321,0.0058323
56703.3907060,0.3009594,0.0231268
56706.4349653,0.3037534,0.0096649
56709.3629167,0.3016431,0.0050668
56712.4292361,0.2954547,0.0167190
56736.3127662,0.2989534,0.0060590
56739.3252315,0.2999223,0.0054525
56741.2955787,0.3031779,0.0147668
56745.2761458,0.3076374,0.0082214
56752.3184144,0.3133398,0.0125678
56754.2880440,0.3100060,0.0145772
56757.2685995,0.3104538,0.0057026
56758.2543866,0.3214215,0.0208066
56762.2534491,0.3137246,0.0083650
56765.2323727,0.3131732,0.0127301
56781.2033565,0.3259248,0.0083730
56837.0785648,0.3342680,0.0123782
56842.0843634,0.3488465,0.0096745
56852.0370949,0.3133923,0.0320423
56893.8865278,0.3291613,0.0058884
56928.8241435,0.3126701,0.0114590
56932.8166204,0.3316049,0.0072605
56936.8097917,0.3281308,0.0105219
56940.7920602,0.3463059,0.0072600
56966.6892824,0.3258129,0.0178545
56970.6758218,0.3530632,0.0109069
56974.7056944,0.3329365,0.0102562
56979.6901273,0.3705004,0.0103776
56983.6768171,0.3727714,0.0096955
56989.6525926,0.3641090,0.0090428
57002.6240278,0.3853805,0.0085194
57028.5216667,0.3793260,0.0088815
57038.5022917,0.3677761,0.0110764
57043.5159838,0.3936140,0.0111151
57048.4658218,0.3779845,0.0109665
57054.4819444,0.3838680,0.0087878
57059.4654514,0.3648552,0.0089335
57064.4493519,0.3720300,0.0088571
57073.6270486,0.3860094,0.0086143
57081.3773727,0.3692628,0.0089417
57087.3614005,0.3679470,0.0103837
57092.3911921,0.3779294,0.0104205
57097.3687269,0.3553099,0.0106460
57109.3439815,0.3441065,0.0088139
57125.4894329,0.3477963,0.0087388
57146.4146296,0.3559093,0.0115180
57221.2645718,0.3526315,0.0058183
57225.2486690,0.3328282,0.0064583
57251.1029745,0.3470862,0.0321183
57254.8683333,0.3278210,0.0213527
57257.8898032,0.3217375,0.0333686
57283.8480093,0.3331069,0.0279771
57319.7575926,0.3318991,0.0225364
57356.6159838,0.3238394,0.0044667
57365.5849537,0.3193704,0.0056152
57369.5733681,0.3226799,0.0045872
57379.5716204,0.3200893,0.0044071
57381.5945023,0.3287005,0.0045612
57398.5191319,0.3260779,0.0043074
57409.4714352,0.3128556,0.0043250
57425.4555208,0.3018756,0.0047152
57431.4028356,0.3094324,0.0042069
57438.3991551,0.3180388,0.0043102
57445.3869560,0.3086216,0.0045655
57462.3201389,0.3058257,0.0043696
57465.3494213,0.3238606,0.0046257
57511.4343287,0.3140975,0.0056001
57543.1103588,0.3144198,0.0042584
57553.1131597,0.3105039,0.0047407
57566.1035995,0.3055418,0.0043947
57594.9492593,0.3028930,0.0050518
57623.8574769,0.2985333,0.0042082
57637.8956019,0.3035294,0.0041180
57640.8932870,0.3039974,0.0056345
57648.8485417,0.2877365,0.0041894
57652.8099769,0.2993461,0.0074699
57673.7520139,0.2851976,0.0045529
57688.7532523,0.2765765,0.0048438
57700.7207639,0.2800846,0.0037562
