mjd,flux,flux err
56437.7711574,0.2153473,0.0240032
56444.8202083,0.2096454,0.0076952
56452.7197222,0.2222353,0.0170511
56458.7663542,0.2125158,0.0207713
56461.7566667,0.2177824,0.0044010
56462.7487963,0.2076767,0.0101722
56466.6651042,0.2189694,0.0057116
56471.7545833,0.2120035,0.0328437
56473.6430671,0.2068027,0.0235645
56478.7394676,0.2101342,0.0763691
56482.6571528,0.2224272,0.0261785
56493.6297685,0.2076516,0.0098539
56507.6239815,0.2091370,0.0110605
56510.5476389,0.2134660,0.0060163
56514.5401620,0.1994023,0.0173724
56517.5664931,0.2083969,0.0093123
56521.5651852,0.2137218,0.0066064
56522.4960069,0.2134153,0.0058911
56528.5642014,0.2014957,0.0085736
56531.5006366,0.1987647,0.0431163
56533.4760185,0.2075051,0.0145597
56542.4452431,0.2135661,0.0060450
56545.4732870,0.2106338,0.0159612
56549.4359491,0.2153551,0.0156460
56552.4754167,0.2212919,0.0078301
56556.4762269,0.2196970,0.0128609
56559.4770949,0.2141932,0.0130816
56563.4366782,0.2047319,0.0076492
56566.3933449,0.2086572,0.0174966
56570.3653009,0.2032060,0.0090194
56573.4323958,0.2029341,0.0118970
56581.3568750,0.2077979,0.0107422
56587.3525000,0.2154312,0.0203670
56603.2706366,0.2116329,0.0067890
56611.3573958,0.2073575,0.0098181
56615.2784954,0.2213903,0.0399410
56624.3078588,0.2138620,0.0138341
56627.3046296,0.2221826,0.0079309
56649.1819097,0.2313373,0.0108212
56653.1336574,0.2432313,0.0156182
56659.2017940,0.2294959,0.0041447
56674.1337847,0.2293801,0.0089249
56683.1033449,0.2283785,0.0063892
56690.1455208,0.2247341,0.0052028
56693.0752546,0.2324156,0.0116475
56706.0691551,0.2278923,0.0107409
56709.0086806,0.2262988,0.0149958
56713.1045370,0.2347841,0.0193332
56729.0731481,0.2252866,0.0086525
56734.9960532,0.2321040,0.0253915
56741.0095486,0.2579852,0.0249037
56748.9028819,0.2442597,0.0113195
56755.8677315,0.2461665,0.0153435
56757.9709491,0.2486625,0.0047805
56762.8954630,0.2390179,0.0093086
56770.9464699,0.2449804,0.0111678
56775.9445602,0.2391713,0.0068991
56781.7906019,0.2550848,0.0367026
56838.6964583,0.2451714,0.0086811
56855.6521991,0.2346677,0.0072141
56860.6301505,0.2691467,0.0088234
56870.5996528,0.2465046,0.0089735
56885.5455787,0.2649520,0.0075545
56895.5173958,0.2500481,0.0065959
56900.5149306,0.2620224,0.0056477
56904.4954282,0.2579080,0.0062784
56909.4858333,0.2709605,0.0067721
56914.4939583,0.2583813,0.0097429
56930.4342940,0.2569790,0.0103708
56934.4302894,0.2711182,0.0085514
56938.4219213,0.2822517,0.0103744
56942.4068981,0.2664989,0.0101281
56946.4572801,0.2671597,0.0130060
56963.3457523,0.2646172,0.0092257
56968.3242361,0.2815462,0.0100132
56972.3158796,0.2827308,0.0075067
56981.2841782,0.2939540,0.0090133
56986.2771991,0.2858652,0.0093268
56992.2579167,0.2706174,0.0079531
56999.2324769,0.2729597,0.0105873
57005.2133449,0.2610010,0.0116714
57020.1725231,0.2759299,0.0096547
57030.1555440,0.2618298,0.0098716
57040.1275000,0.2676290,0.0089801
57056.0880556,0.2689597,0.0069640
57066.0667245,0.2339437,0.0116771
57076.0136458,0.2903110,0.0191383
57088.9896528,0.2618727,0.0127529
57093.9757986,0.2714500,0.0079757
57182.7451389,0.2067823,0.0113337
57217.6589468,0.2956367,0.0041540
57221.6264005,0.2919893,0.0033507
57225.5969792,0.3027545,0.0067764
57228.5701736,0.2953076,0.0036095
57251.5006250,0.3024962,0.0135165
57254.5067477,0.3088271,0.0132716
57260.4819444,0.2852960,0.0645942
57264.4768287,0.3157379,0.0162077
57271.5663773,0.2862845,0.0113303
57278.4278009,0.3100830,0.0123864
57281.4442940,0.3003628,0.0149497
57288.3952315,0.3109522,0.0188435
57291.4054745,0.3158427,0.0100403
57293.4307292,0.3017045,0.0143077
57299.4144444,0.3160981,0.0118698
57306.3497569,0.2906269,0.0160890
57317.3199306,0.2990950,0.0243940
57354.3466088,0.2597792,0.0035029
57358.3498611,0.2732314,0.0043831
57375.3025231,0.2786722,0.0052306
57384.1334028,0.2794691,0.0047943
57388.1224306,0.2754096,0.0043861
57395.2292477,0.2694041,0.0036013
57398.2261458,0.2766312,0.0042919
57403.2071296,0.2742121,0.0051963
57416.0403588,0.2654756,0.0037812
57425.1702546,0.2830299,0.0042783
57427.0120370,0.2729236,0.0039191
57435.1155208,0.2768528,0.0043362
57444.9689815,0.2892436,0.0042249
57447.9715509,0.2504933,0.0041127
57471.9031134,0.2891126,0.0039121
57515.7686227,0.2906272,0.0048531
57519.8096644,0.3063291,0.0103805
57531.8589005,0.3024337,0.0130637
57535.7420833,0.3093599,0.0049046
57549.7167130,0.2909814,0.0053966
57553.6827894,0.2928407,0.0052302
57556.6644213,0.3148953,0.0041680
57559.6481944,0.3406211,0.0067612
57567.7563773,0.2906071,0.0048223
57572.6461921,0.2875182,0.0043829
57576.6451389,0.2998910,0.0073536
57586.7051620,0.2973845,0.0045552
57588.7040741,0.2978497,0.0039963
57592.5874421,0.3013453,0.0037076
57594.5726157,0.3052625,0.0041687
57598.5355440,0.3006835,0.0041808
57601.5624190,0.2900917,0.0045741
57604.5278356,0.2959091,0.0049965
57608.5561574,0.3024272,0.0044515
57612.5161921,0.2910855,0.0042935
57618.5001273,0.2922692,0.0048299
57620.6137269,0.2871537,0.0049239
57627.4780903,0.2941583,0.0051230
57637.4409491,0.2851004,0.0041186
57652.4336343,0.2863128,0.0046315
57669.3876505,0.2884361,0.0042472
57674.3677778,0.2873804,0.0041271
57687.3081134,0.3023940,0.0054253
57697.2612731,0.2841819,0.0043677
57700.2850000,0.3101442,0.0060216
