Date,Price
2012-12-19,98.7165
2012-12-26,98.9989
2013-01-02,99.0637
2013-01-09,99.0669
2013-01-16,98.6129
2013-01-23,98.782
2013-01-30,99.042
2013-02-06,98.9394
2013-02-13,99.4672
2013-02-20,99.6659
2013-02-27,100.3378
2013-03-06,100.619
2013-03-13,100.6155
2013-03-20,100.5109
2013-03-27,100.4506
2013-04-03,100.3414
2013-04-10,100.2994
2013-04-17,100.0254
2013-04-24,100.4409
2013-05-01,99.8027
2013-05-08,99.603
2013-05-15,100.2864
2013-05-22,101.1029
2013-05-29,101.4669
2013-06-05,101.4563
2013-06-12,100.8895
2013-06-19,100.5227
2013-06-26,102.5355
2013-07-03,102.4242
2013-07-10,103.0329
2013-07-17,101.8908
2013-07-24,101.4936
2013-07-31,101.4606
2013-08-07,101.6231
2013-08-14,101.2338
2013-08-21,101.8044
2013-08-28,102.4086
2013-09-04,102.8936
2013-09-11,102.3533
2013-09-18,101.5915
2013-09-25,100.7964
2013-10-02,101.1161
2013-10-09,100.9531
2013-10-16,100.9267
2013-10-23,100.1838
2013-10-30,100.3169
2013-11-06,101.151
2013-11-13,101.7173
2013-11-20,101.3546
2013-11-27,101.7188
2013-12-04,101.9972
2013-12-11,101.4401
2013-12-18,101.5053
2013-12-25,101.8662
2014-01-01,101.8198
2014-01-08,102.1502
2014-01-15,102.2714
2014-01-22,102.8422
2014-01-29,103.0895
2014-02-05,103.3568
2014-02-12,102.9157
2014-02-19,102.5394
2014-02-26,102.8805
2014-03-05,102.8888
2014-03-12,102.6347
2014-03-19,102.6418
2014-03-26,103.1748
2014-04-02,102.6932
2014-04-09,102.4405
2014-04-16,102.195
2014-04-23,102.4632
2014-04-30,102.5504
2014-05-07,102.1269
2014-05-14,102.0227
2014-05-21,102.0699
2014-05-28,102.2071
2014-06-04,102.3687
2014-06-11,102.3958
2014-06-18,102.3713
2014-06-25,102.1257
2014-07-02,101.7306
2014-07-09,101.7273
2014-07-16,101.8792
2014-07-23,102.0552
2014-07-30,102.3361
2014-08-06,102.9203
2014-08-13,102.9034
2014-08-20,102.7122
2014-08-27,103.1148
2014-09-03,103.1844
2014-09-10,103.8494
2014-09-17,104.3273
2014-09-24,104.8027
2014-10-01,105.6934
2014-10-08,105.9472
2014-10-15,105.7118
2014-10-22,105.688
2014-10-29,105.761
2014-11-05,106.7197
2014-11-12,107.4762
2014-11-19,107.6401
2014-11-26,107.8152
2014-12-03,108.8998
2014-12-10,109.6438
2014-12-17,110.3405
2014-12-24,110.8841
